,dataset_size,subset_size,coverage_threshold,#females,#questions,result,m
170,851000,50.0,50.0,50.0,16760.4,1.0,0.01969494712103408
171,856000,50.0,50.0,50.0,16828.65,1.0,0.01965963785046729
172,861000,50.0,50.0,50.0,16914.3,1.0,0.019644947735191636
173,866000,50.0,50.0,50.0,17032.2,1.0,0.019667667436489608
174,871000,50.0,50.0,50.0,17151.95,1.0,0.019692250287026408
175,876000,50.0,50.0,50.0,17229.45,1.0,0.01966832191780822
176,881000,50.0,50.0,50.0,17385.6,1.0,0.01973393870601589
177,886000,50.0,50.0,50.0,17367.6,1.0,0.019602257336343114
178,891000,50.0,50.0,50.0,17290.75,1.0,0.01940600448933782
179,896000,50.0,50.0,50.0,17578.05,1.0,0.019618359374999998
180,901000,50.0,50.0,50.0,17637.65,1.0,0.019575638179800223
181,906000,50.0,50.0,50.0,17871.9,1.0,0.019726158940397354
182,911000,50.0,50.0,50.0,17938.85,1.0,0.01969138309549945
183,916000,50.0,50.0,50.0,17901.95,1.0,0.019543613537117904
184,921000,50.0,50.0,50.0,17979.9,1.0,0.019522149837133553
185,926000,50.0,50.0,50.0,18181.75,1.0,0.019634719222462203
186,931000,50.0,50.0,50.0,18138.05,1.0,0.019482330827067667
187,936000,50.0,50.0,50.0,18469.8,1.0,0.019732692307692305
188,941000,50.0,50.0,50.0,18380.4,1.0,0.019532837407013816
189,946000,50.0,50.0,50.0,18641.35,1.0,0.01970544397463002
190,951000,50.0,50.0,50.0,18688.75,1.0,0.01965168243953733
191,956000,50.0,50.0,50.0,18658.7,1.0,0.019517468619246862
192,961000,50.0,50.0,50.0,19030.85,1.0,0.019803173777315296
193,966000,50.0,50.0,50.0,18968.75,1.0,0.019636387163561076
194,971000,50.0,50.0,50.0,18963.4,1.0,0.019529763130793
195,976000,50.0,50.0,50.0,19137.1,1.0,0.019607684426229507
196,981000,50.0,50.0,50.0,19252.85,1.0,0.019625739041794085
197,986000,50.0,50.0,50.0,19308.15,1.0,0.019582302231237324
198,991000,50.0,50.0,50.0,19420.95,1.0,0.019597325933400606
199,996000,50.0,50.0,50.0,19606.15,1.0,0.019684889558232933
