dataset_size,subset_size,coverage_threshold,#females,#questions,result
101000,50,50,50,2001,True
101000,50,50,50,1995,True
101000,50,50,50,1961,True
101000,50,50,50,2207,True
101000,50,50,50,2011,True
101000,50,50,50,1868,True
101000,50,50,50,1998,True
101000,50,50,50,2098,True
101000,50,50,50,2065,True
101000,50,50,50,2322,True
101000,50,50,50,2180,True
101000,50,50,50,2010,True
106000,50,50,50,2110,True
106000,50,50,50,2059,True
106000,50,50,50,2006,True
106000,50,50,50,2118,True
106000,50,50,50,2040,True
106000,50,50,50,1966,True
106000,50,50,50,2234,True
106000,50,50,50,2148,True
106000,50,50,50,2114,True
106000,50,50,50,2108,True
106000,50,50,50,2118,True
106000,50,50,50,2106,True
106000,50,50,50,2094,True
106000,50,50,50,2083,True
106000,50,50,50,2102,True
106000,50,50,50,2069,True
106000,50,50,50,2096,True
106000,50,50,50,2203,True
106000,50,50,50,2119,True
106000,50,50,50,2478,True
111000,50,50,50,2618,True
111000,50,50,50,2261,True
111000,50,50,50,2212,True
111000,50,50,50,2220,True
111000,50,50,50,2160,True
111000,50,50,50,2364,True
111000,50,50,50,2435,True
111000,50,50,50,2258,True
111000,50,50,50,2205,True
111000,50,50,50,2197,True
111000,50,50,50,2245,True
111000,50,50,50,2303,True
111000,50,50,50,2252,True
111000,50,50,50,2250,True
111000,50,50,50,2210,True
111000,50,50,50,2186,True
111000,50,50,50,2574,True
111000,50,50,50,2192,True
111000,50,50,50,2549,True
111000,50,50,50,2330,True
116000,50,50,50,2259,True
116000,50,50,50,2276,True
116000,50,50,50,2304,True
116000,50,50,50,2621,True
116000,50,50,50,2591,True
116000,50,50,50,2478,True
116000,50,50,50,2315,True
116000,50,50,50,2377,True
116000,50,50,50,2303,True
116000,50,50,50,2355,True
116000,50,50,50,2341,True
116000,50,50,50,2290,True
116000,50,50,50,2511,True
116000,50,50,50,2427,True
116000,50,50,50,2353,True
116000,50,50,50,2385,True
116000,50,50,50,2433,True
116000,50,50,50,2429,True
116000,50,50,50,2488,True
116000,50,50,50,2289,True
121000,50,50,50,2653,True
121000,50,50,50,2409,True
121000,50,50,50,2432,True
121000,50,50,50,2418,True
121000,50,50,50,2418,True
121000,50,50,50,2601,True
121000,50,50,50,2425,True
121000,50,50,50,2520,True
121000,50,50,50,2362,True
121000,50,50,50,2309,True
121000,50,50,50,2428,True
121000,50,50,50,2416,True
121000,50,50,50,2287,True
121000,50,50,50,2415,True
121000,50,50,50,2353,True
121000,50,50,50,2416,True
121000,50,50,50,2393,True
121000,50,50,50,2382,True
121000,50,50,50,2420,True
121000,50,50,50,2624,True
126000,50,50,50,2480,True
126000,50,50,50,2435,True
126000,50,50,50,2435,True
126000,50,50,50,2540,True
126000,50,50,50,2360,True
126000,50,50,50,2516,True
126000,50,50,50,2510,True
126000,50,50,50,2457,True
126000,50,50,50,2511,True
126000,50,50,50,2431,True
126000,50,50,50,2490,True
126000,50,50,50,2473,True
126000,50,50,50,2623,True
126000,50,50,50,2679,True
126000,50,50,50,2317,True
126000,50,50,50,2818,True
126000,50,50,50,2513,True
126000,50,50,50,2526,True
126000,50,50,50,2606,True
126000,50,50,50,2452,True
131000,50,50,50,2544,True
131000,50,50,50,2599,True
131000,50,50,50,2602,True
131000,50,50,50,2613,True
131000,50,50,50,2596,True
131000,50,50,50,2505,True
131000,50,50,50,2612,True
131000,50,50,50,2459,True
131000,50,50,50,2489,True
131000,50,50,50,2491,True
131000,50,50,50,2530,True
131000,50,50,50,2604,True
131000,50,50,50,2658,True
131000,50,50,50,2564,True
131000,50,50,50,2528,True
131000,50,50,50,2442,True
131000,50,50,50,2487,True
131000,50,50,50,2634,True
131000,50,50,50,2593,True
131000,50,50,50,2608,True
136000,50,50,50,2704,True
136000,50,50,50,2713,True
136000,50,50,50,2706,True
136000,50,50,50,3008,True
136000,50,50,50,2710,True
136000,50,50,50,2701,True
136000,50,50,50,2720,True
136000,50,50,50,2702,True
136000,50,50,50,2584,True
136000,50,50,50,2748,True
136000,50,50,50,2634,True
136000,50,50,50,2696,True
136000,50,50,50,2530,True
136000,50,50,50,2663,True
136000,50,50,50,2641,True
136000,50,50,50,2754,True
136000,50,50,50,2962,True
136000,50,50,50,2751,True
136000,50,50,50,2699,True
136000,50,50,50,2698,True
141000,50,50,50,2953,True
141000,50,50,50,2789,True
141000,50,50,50,2878,True
141000,50,50,50,2713,True
141000,50,50,50,2798,True
141000,50,50,50,2812,True
141000,50,50,50,2740,True
141000,50,50,50,2786,True
141000,50,50,50,2764,True
141000,50,50,50,2663,True
141000,50,50,50,2816,True
141000,50,50,50,2770,True
141000,50,50,50,2800,True
141000,50,50,50,2772,True
141000,50,50,50,2804,True
141000,50,50,50,2785,True
141000,50,50,50,2995,True
141000,50,50,50,2816,True
141000,50,50,50,2804,True
141000,50,50,50,2780,True
146000,50,50,50,2971,True
146000,50,50,50,3203,True
146000,50,50,50,2889,True
146000,50,50,50,2764,True
146000,50,50,50,2901,True
146000,50,50,50,3214,True
146000,50,50,50,2853,True
146000,50,50,50,2948,True
146000,50,50,50,2985,True
146000,50,50,50,2888,True
146000,50,50,50,2911,True
146000,50,50,50,2964,True
146000,50,50,50,2905,True
146000,50,50,50,2807,True
146000,50,50,50,2893,True
146000,50,50,50,2888,True
146000,50,50,50,2887,True
146000,50,50,50,2909,True
146000,50,50,50,2900,True
146000,50,50,50,3178,True
151000,50,50,50,2982,True
151000,50,50,50,2990,True
151000,50,50,50,3356,True
151000,50,50,50,2860,True
151000,50,50,50,3012,True
151000,50,50,50,3049,True
151000,50,50,50,2942,True
151000,50,50,50,3018,True
151000,50,50,50,2918,True
151000,50,50,50,2901,True
151000,50,50,50,3286,True
151000,50,50,50,3313,True
151000,50,50,50,2841,True
151000,50,50,50,3315,True
151000,50,50,50,2997,True
151000,50,50,50,3016,True
151000,50,50,50,2994,True
151000,50,50,50,2934,True
151000,50,50,50,3115,True
151000,50,50,50,2978,True
156000,50,50,50,3120,True
156000,50,50,50,3088,True
156000,50,50,50,3211,True
156000,50,50,50,3092,True
156000,50,50,50,3158,True
156000,50,50,50,3130,True
156000,50,50,50,3184,True
156000,50,50,50,3063,True
156000,50,50,50,3219,True
156000,50,50,50,3100,True
156000,50,50,50,3064,True
156000,50,50,50,3107,True
156000,50,50,50,3118,True
156000,50,50,50,3067,True
156000,50,50,50,3071,True
156000,50,50,50,3101,True
156000,50,50,50,3073,True
156000,50,50,50,3131,True
156000,50,50,50,3272,True
156000,50,50,50,3103,True
161000,50,50,50,3342,True
161000,50,50,50,3095,True
161000,50,50,50,3219,True
161000,50,50,50,3235,True
161000,50,50,50,3393,True
161000,50,50,50,3165,True
161000,50,50,50,3152,True
161000,50,50,50,2966,True
161000,50,50,50,3287,True
161000,50,50,50,3182,True
161000,50,50,50,3198,True
161000,50,50,50,3276,True
161000,50,50,50,2963,True
161000,50,50,50,3207,True
161000,50,50,50,3357,True
161000,50,50,50,3200,True
161000,50,50,50,3209,True
161000,50,50,50,3403,True
161000,50,50,50,3010,True
161000,50,50,50,3153,True
166000,50,50,50,3258,True
166000,50,50,50,3390,True
166000,50,50,50,3278,True
166000,50,50,50,3315,True
166000,50,50,50,3291,True
166000,50,50,50,3240,True
166000,50,50,50,3290,True
166000,50,50,50,3260,True
166000,50,50,50,3288,True
166000,50,50,50,3311,True
166000,50,50,50,3315,True
166000,50,50,50,3344,True
166000,50,50,50,3375,True
166000,50,50,50,3399,True
166000,50,50,50,3213,True
166000,50,50,50,3255,True
166000,50,50,50,3369,True
166000,50,50,50,3256,True
166000,50,50,50,3278,True
166000,50,50,50,3461,True
171000,50,50,50,3416,True
171000,50,50,50,3377,True
171000,50,50,50,3397,True
171000,50,50,50,3399,True
171000,50,50,50,3221,True
171000,50,50,50,3313,True
171000,50,50,50,3337,True
171000,50,50,50,3317,True
171000,50,50,50,3147,True
171000,50,50,50,3336,True
171000,50,50,50,3339,True
171000,50,50,50,3471,True
171000,50,50,50,3387,True
171000,50,50,50,3277,True
171000,50,50,50,3150,True
171000,50,50,50,3438,True
171000,50,50,50,3448,True
171000,50,50,50,3374,True
171000,50,50,50,3599,True
171000,50,50,50,3426,True
176000,50,50,50,3245,True
176000,50,50,50,3438,True
176000,50,50,50,3349,True
176000,50,50,50,3370,True
176000,50,50,50,3522,True
176000,50,50,50,3517,True
176000,50,50,50,3508,True
176000,50,50,50,3697,True
176000,50,50,50,3704,True
176000,50,50,50,3550,True
176000,50,50,50,3325,True
176000,50,50,50,3396,True
176000,50,50,50,3829,True
176000,50,50,50,3510,True
176000,50,50,50,3517,True
176000,50,50,50,3471,True
176000,50,50,50,3302,True
176000,50,50,50,3648,True
176000,50,50,50,3468,True
